OTU	Size	Taxonomy	taxname	phylum
Otu000381	6776	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);	Otu000381_Clostridiales_unclassified	Firmicutes
Otu000384	6413	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Dorea(100);	Otu000384_Dorea	Firmicutes
Otu000394	6151	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Clostridium_XlVb(100);	Otu000394_Clostridium_XlVb	Firmicutes
Otu000395	6108	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);	Otu000395_Lachnospiraceae	Firmicutes
Otu000399	5958	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);	Otu000399_Lachnospiraceae	Firmicutes
Otu000404	5891	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);	Otu000404_Lachnospiraceae	Firmicutes
Otu000405	5799	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);	Otu000405_Ruminococcaceae	Firmicutes
Otu000418	5537	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);	Otu000418_Clostridiales_unclassified	Firmicutes
Otu000420	5499	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);	Otu000420_Lachnospiraceae	Firmicutes
Otu000422	5472	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);	Otu000422_Lachnospiraceae	Firmicutes
Otu000426	5352	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptococcaceae_1(100);Peptococcus(100);	Otu000426_Peptococcus	Firmicutes
Otu000430	5257	Bacteria(100);Firmicutes(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);	Otu000430_Firmicutes_unclassified	Firmicutes
Otu000431	5152	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);	Otu000431_Ruminococcaceae	Firmicutes
